company_name,company_id,id
['Pixar Animation Studios'],[3],862
"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']","[559, 2550, 10201]",8844
"['Warner Bros.', 'Lancaster Gate']","[6194, 19464]",15602
['Twentieth Century Fox Film Corporation'],[306],31357
"['Sandollar Productions', 'Touchstone Pictures']","[5842, 9195]",11862
"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']","[508, 675, 6194]",949
"['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']","[4, 258, 932, 5842, 14941, 55873, 58079]",11860
['Walt Disney Pictures'],[2],45325
"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']","[33, 21437, 23770]",9091
"['United Artists', 'Eon Productions']","[60, 7576]",710
"['Columbia Pictures', 'Castle Rock Entertainment']","[5, 97]",9087
"['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']","[5, 97, 6368]",12110
"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']","[33, 56, 4105]",21032
"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","[915, 1504]",10858
"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","[183, 415, 8411, 14723]",1408
"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","[33, 10898, 11583, 11584]",524
"['Columbia Pictures Corporation', 'Mirage Enterprises']","[441, 932]",4584
"['Miramax Films', 'A Band Apart']","[14, 59]",5
"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']","[5682, 6194, 10210]",9273
['Columbia Pictures'],[5],11517
"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']","[216, 8411]",8012
"['Regency Enterprises', 'New Regency Pictures']","[508, 10104]",1710
"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","[1885, 5358, 6194, 10308, 23397, 25061]",9691
"['Caravan Pictures', 'Hollywood Pictures']","[175, 915]",12665
"['United Artists', 'Intial Productions']","[60, 15547]",451
"['Columbia Pictures', 'Castle Rock Entertainment']","[5, 97]",16420
['New Line Cinema'],[12],9263
['BBC Films'],[288],17015
"['Procirep', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisión Española (TVE)', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Centre National de la Cinématographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","[311, 590, 591, 592, 850, 851, 1871, 6639, 7237, 8170, 9335, 12009, 18367, 25020, 25021, 25129, 47532, 68517, 79437, 79438, 79439]",902
"['Ministère des Affaires Étrangères', 'Alpha Films', 'La Sept Cinéma']","[2588, 4507, 23647]",37557
"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']","[915, 10103, 10288]",9909
"['Universal Pictures', 'Atlas Entertainment', 'Classico']","[33, 507, 17031]",63
['Iwerks Entertainment'],[70801],78802
"['Universal Pictures', 'Kennedy Miller Productions']","[33, 2537]",9598
"['StudioCanal', 'Cinéa', 'Euston Films', 'Freeway Films', 'European Co-production Fund', 'Polygram Filmed Entertainment', 'Orsans Productions']","[694, 874, 8363, 19316, 30226, 31080, 44821]",47018
"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","[406, 1382, 10163]",687
['Sony New Technologies'],[53390],139405
"['Dualstar Productions', 'Warner Bros.', 'Rysher Entertainment', 'Orr & Cruickshank']","[6130, 6194, 11661, 89131]",33689
['Paramount Pictures'],[4],9603
"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']","[53009, 85681, 89840]",34615
"['British Screen', 'Mayfair Entertainment International']","[871, 34237]",31174
"['Caravan Pictures', 'Underworld Entertainment', 'Hollywood Pictures']","[175, 476, 915]",11443
['Miramax Films'],[14],35196
"['New Line Cinema', 'Threshold Entertainment']","[12, 4174]",9312
"['The Rank Organisation', 'Columbia Pictures Corporation']","[364, 441]",577
"['Universal Pictures', 'Amblin Entertainment']","[33, 56]",11861
"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']","[12, 4286, 65394]",807
"['Walt Disney Pictures', 'Walt Disney Feature Animation']","[2, 10217]",10530
['Alliance Communications Corporation'],[2480],8391
"['Blue Parrot Productions', 'Bad Hat Harry Productions']","[361, 9168]",629
[],[],117164
"['Miramax Films', 'Magnolia Pictures']","[14, 1030]",11448
[],[],49133
"['Walt Disney Pictures', 'Caravan Pictures']","[2, 175]",26441
"['Miramax Films', 'CiBy 2000']","[14, 7832]",97406
"['Telefilm Canada', 'Melenny Productions']","[7320, 10260]",124057
"['Paramount Pictures', 'Egg Pictures', 'PolyGram Filmed Entertainment']","[4, 802, 1382]",9089
[],[],11010
[],[],99040
"['Paramount Pictures', 'Columbia Pictures Corporation', 'The Kennedy/Marshall Company']","[4, 441, 862]",11359
['Paramount Pictures'],[4],17182
"['Hollywood Pictures', 'The Charlie Mopic Company', 'PolyGram Filmed Entertainment', 'Interscope Communications']","[915, 916, 1382, 10201]",2054
"['Miramax Films', 'Island Pictures', 'Ivory Way Productions']","[14, 3492, 5441]",10607
"['Warner Bros.', 'Morgan Creek Productions']","[6194, 10210]",19760
"['Metro-Goldwyn-Mayer (MGM)', 'Motion Picture Corporation of America (MPCA)', '3 Arts Entertainment', 'Weasel Productions']","[8411, 11061, 36390, 38003]",9536
['New Line Cinema'],[12],11525
['Miramax Films'],[14],40628
"['Renn Productions', 'Les Films Flam', 'TF1 Films Production', 'Canal+']","[82, 1614, 3823, 5358]",4482
['New Line Cinema'],[12],10634
"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']","[59, 7405, 11705, 53009]",755
"['Silver Pictures', 'Warner Bros.']","[1885, 6194]",11859
"['Castleberg Productions', 'Sandollar Productions']","[5841, 5842]",28387
"['Les Films 13', 'Canal+', 'TF1']","[1742, 5358, 22123]",48750
"['New Line Cinema', 'Juno Pix']","[12, 4286]",20927
"['Warner Bros.', 'Morgan Creek Productions']","[6194, 10210]",36929
"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']","[3388, 4899, 7958, 23096, 23097, 23098]",9102
"['Zweites Deutsches Fernsehen (ZDF)', 'Ciak Filmproduktion', 'Bluehorse Films']","[4606, 83201, 93174]",124626
['Miramax Films'],[14],27526
['Columbia Pictures Corporation'],[441],9623
"['I.R.I.B. Channel 2', 'Ferdos Films']","[38953, 38954]",46785
['Miramax Films'],[14],400
"['Bergen Film', 'Bard Entertainments', 'NPS Televisie']","[575, 576, 577]",880
"['BET Pictures', 'United Image Entertainme']","[38196, 38197]",146599
[],[],188588
"['Playhouse International Pictures', 'The Samuel Goldwyn Company']","[2492, 8888]",8447
"['Hollywood Pictures', 'Largo Entertainment', 'Scott Free Productions']","[915, 1644, 1645]",10534
"['Twentieth Century Fox Film Corporation', 'Joe Wizan/Todd Black']","[306, 3311]",17414
['Paramount Pictures'],[4],13997
['Paramount Pictures'],[4],2086
"['Miramax Films', 'Addis Wechsler Pictures']","[14, 4665]",61548
"['TriStar Pictures', 'NFH Productions']","[559, 18737]",9095
['Paramount Pictures'],[4],12158
"['Miramax Films', 'Woods Entertainment']","[14, 979]",9283
"['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']","[306, 456, 11362]",9208
"['Castle Rock Entertainment', 'Midwinter Films']","[97, 75942]",40154
