director_name,director_id,id,budget,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror,director_score,actor1_id,actor1_name,actor2_id,actor2_name,actor3_id,actor3_name,actor1_score,actor2_score,actor3_score,actor_score,company_name,company_id
John Lasseter,7879.0,862,30000000,21.946943,394436586,81.0,Toy Story,7.7,5415.0,1995,10,30,10194,Toy Story Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,123967,31.0,Tom Hanks,12898.0,Tim Allen,7167.0,Don Rickles,231412458.7142857,189833357.0,0.0,210622908,['Pixar Animation Studios'],[3]
Howard Deutch,26502.0,15602,25000000,11.7129,71500000,101.0,Grumpier Old Men,6.5,92.0,1995,12,22,119050,Grumpy Old Men Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27214205,6837.0,Walter Matthau,3151.0,Jack Lemmon,13567.0,Ann-Margret,104814371.0,62829561.2,36453176.0,68032369,"['Warner Bros.', 'Lancaster Gate']","[6194, 19464]"
Martin Campbell,10702.0,710,58000000,14.686036,352200000,130.0,GoldenEye,6.6,1194.0,1995,11,16,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12657223,517.0,Pierce Brosnan,48.0,Sean Bean,10695.0,Izabella Scorupco,163886635.0,178051587.0,0.0,170969111,"['United Artists', 'Eon Productions']","[60, 7576]"
Steve Oedekerk,4489.0,9273,30000000,8.205448,212385533,90.0,Ace Ventura: When Nature Calls,6.1,1128.0,1995,11,10,3167,Ace Ventura Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,206.0,Jim Carrey,3547.0,Ian McNeice,4001.0,Simon Callow,208521245.0,19168996.0,93431297.5,107040513,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']","[5682, 6194, 10210]"
Barry Sonnenfeld,5174.0,8012,30250000,12.669608,115101622,105.0,Get Shorty,6.4,305.0,1995,10,20,91698,Chili Palmer Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83855913,8891.0,John Travolta,193.0,Gene Hackman,14343.0,Rene Russo,68894255.25,96997487.71428572,176429320.25,114107021,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']","[216, 8411]"
Chris Noonan,58137.0,9598,30000000,14.404764,254100000,89.0,Babe,6.0,756.0,1995,7,18,9435,Babe Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,58136.0,Christine Cavanaugh,6199.0,Miriam Margolyes,52699.0,Danny Mann,0.0,33740409.0,130054722.66666669,81897566,"['Universal Pictures', 'Kennedy Miller Productions']","[33, 2537]"
Paul W.S. Anderson,4014.0,9312,18000000,10.870138,122195920,101.0,Mortal Kombat,5.4,452.0,1995,8,18,9818,Mortal Kombat Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4052366,38559.0,Christopher Lambert,57250.0,Robin Shou,57251.0,Linden Ashby,13323779.8,0.0,25052000.0,19187890,"['New Line Cinema', 'Threshold Entertainment']","[12, 4174]"
Farhad Mann,69721.0,11525,15000000,2.49535,2409225,92.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,1996,1,12,124935,The Lawnmower Man Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29459.0,Patrick Bergin,40009.0,Matt Frewer,58119.0,Austin O'Brien,89038821.0,0.0,65800272.0,77419546,['New Line Cinema'],[12]
F. Gary Gray,37932.0,10634,3500000,14.56965,28200000,91.0,Friday,7.0,513.0,1995,4,26,43563,Friday Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9778.0,Ice Cube,66.0,Chris Tucker,9781.0,Nia Long,36348109.0,0.0,57504069.0,46926089,['New Line Cinema'],[12]
Robert Rodriguez,2294.0,755,19000000,15.339153,25800000,108.0,From Dusk Till Dawn,6.9,1644.0,1996,1,19,10924,From Dusk Till Dawn Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13723182,1461.0,George Clooney,138.0,Quentin Tarantino,1037.0,Harvey Keitel,0.0,49316791.8,52099500.6,50708146,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']","[59, 7405, 11705, 53009]"
