budget,genres,id,popularity,revenue,runtime,tagline,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56508,0.791727,0.0,54.0,,Fantômas: In the Shadow of the Guillotine,6.7,13.0,1913,5,9,188534,Fantômas Serial
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56511,0.787866,0.0,59.0,,Fantômas: Juve Against Fantômas,6.4,11.0,1913,9,12,188534,Fantômas Serial
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56516,0.414734,0.0,90.0,,Fantômas: The Dead Man Who Killed,6.4,8.0,1913,11,28,188534,Fantômas Serial
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56512,0.322249,0.0,59.0,,Fantômas: Fantômas Against Fantômas,6.2,8.0,1914,3,13,188534,Fantômas Serial
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56515,0.237483,0.0,70.0,,Fantômas: The False Magistrate,5.4,6.0,1914,5,8,188534,Fantômas Serial
0.0,"[{'id': 12, 'name': 'Adventure'}]",91893,0.301984,0.0,69.0,,The Spiders - The Golden Sea,5.7,5.0,1919,10,3,189295,The Spiders Serial
0.0,"[{'id': 12, 'name': 'Adventure'}]",92332,0.315662,0.0,130.0,,The Spiders - The Diamond Ship,5.8,5.0,1920,2,2,189295,The Spiders Serial
0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",31506,1.827403,0.0,140.0,,Die Nibelungen: Siegfried,7.7,19.0,1924,2,13,158038,Die Nibelungen Collection
0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",42512,0.828949,0.0,129.0,,Die Nibelungen: Kriemhild's Revenge,7.5,14.0,1924,4,25,158038,Die Nibelungen Collection
217000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",27503,1.48162,0.0,63.0,,The Unknown,7.6,24.0,1927,6,4,48802,I Love a Mystery movie series
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",82088,0.305708,0.0,90.0,,Zvenigora,7.8,6.0,1928,4,13,441443,Ukraine Trilogy
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",85715,0.811576,0.0,70.0,,Arsenal,7.0,7.0,1929,2,25,441443,Ukraine Trilogy
0.0,"[{'id': 9648, 'name': 'Mystery'}]",61546,0.743953,0.0,88.0,ALL-TALKING!...ALL-THRILLS!,The Bishop Murder Case,3.6,4.0,1930,1,3,281097,Philo Vance Collection
0.0,"[{'id': 18, 'name': 'Drama'}]",46594,1.289409,0.0,75.0,,Earth,7.1,28.0,1930,4,8,441443,Ukraine Trilogy
355000.0,"[{'id': 27, 'name': 'Horror'}]",138,7.503126,1012189.0,72.0,The story of the strangest passion the world has ever known!,Dracula,7.2,254.0,1931,2,12,221539,Dracula (Universal Series)
0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",38453,0.377614,0.0,71.0,,The Black Camel,5.2,10.0,1931,6,21,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",42818,0.858991,0.0,130.0,,Marius,6.6,9.0,1931,10,9,156152,La Trilogie Marseillaise
291000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",3035,8.091603,12000000.0,71.0,The man who made a monster.,Frankenstein,7.3,295.0,1931,11,21,218406,Frankenstein (Universal Series)
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",36877,1.547374,0.0,55.0,,The Blood of a Poet,6.7,27.0,1932,1,20,84923,The Orphic Trilogy
0.0,"[{'id': 9648, 'name': 'Mystery'}]",267333,0.007941,0.0,73.0,"With eyes that see all, lips that tell nothing, Charlie Chan unmasks the most sinister crime of his career.",Charlie Chan's Chance,0.0,0.0,1932,1,24,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",26845,4.179063,0.0,100.0,Mothered by an ape--He knew only the law of the jungle--to seize what he wanted!,Tarzan the Ape Man,6.5,42.0,1932,4,2,65249,Tarzan (Johnny Weissmuller series)
0.0,[],156389,0.14299,0.0,10.0,,Runt Page,5.3,2.0,1932,4,11,164072,Baby Burlesks
0.0,[],156388,0.008399,0.0,10.0,,The Pie-Covered Wagon,0.0,0.0,1932,10,30,164072,Baby Burlesks
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",43146,0.507325,0.0,140.0,,Fanny,6.6,9.0,1932,11,2,156152,La Trilogie Marseillaise
196000.0,"[{'id': 27, 'name': 'Horror'}]",15849,12.190044,0.0,73.0,It comes to life!,The Mummy,6.9,121.0,1932,12,22,221544,The Mummy (Universal Series)
672000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",244,8.73274,10000000.0,100.0,A Monster of Creation's Dawn Breaks Loose in Our World Today!,King Kong,7.7,346.0,1933,4,7,135495,King Kong (1933 series)
0.0,"[{'id': 9648, 'name': 'Mystery'}]",413669,0.00554,0.0,70.0,,Charlie Chan's Greatest Case,0.0,0.0,1933,9,14,38451,Charlie Chan (Warner Oland) Collection
328000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",10787,5.192905,0.0,71.0,CARL LAEMMLE presents H.G. WELLS' FANTASTIC SENSATION,The Invisible Man,7.3,151.0,1933,11,13,259401,The Invisible Man (Universal Series)
250000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",43149,1.771424,0.0,70.0,SEE! The cannibals! The earthquake! The sea serpent! The fighting monsters of ages past!,The Son of Kong,5.2,31.0,1933,12,22,135495,King Kong (1933 series)
95.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",18994,12.73076,0.0,100.0,Johnny Weismuller is back again!,Tarzan and His Mate,6.1,38.0,1934,4,20,65249,Tarzan (Johnny Weissmuller series)
226408.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",3529,10.573867,1423000.0,93.0,A laugh tops every thrilling moment!,The Thin Man,7.4,97.0,1934,5,25,47814,The Thin Man Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}]",267336,0.119178,0.0,70.0,,Charlie Chan's Courage,0.0,0.0,1934,7,6,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",33391,0.727814,0.0,79.0,"When all others failed, they turned to...",Charlie Chan in London,6.1,10.0,1934,9,12,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",33393,0.553082,0.0,72.0,,Charlie Chan in Paris,6.8,6.0,1935,1,21,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}]",87881,0.065943,0.0,82.0,,The Casino Murder Case,5.0,2.0,1935,3,15,281097,Philo Vance Collection
393750.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",229,7.000417,0.0,75.0,The monster demands a mate.,Bride of Frankenstein,7.4,208.0,1935,4,21,218406,Frankenstein (Universal Series)
0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",27970,8.579045,0.0,75.0,Beware the Stalking Being - Half-Human - Half-Beast!,Werewolf of London,6.4,32.0,1935,5,13,259027,The Wolf Man (Universal Series)
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",33390,1.06717,0.0,73.0,,Charlie Chan in Egypt,6.4,10.0,1935,6,4,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",33395,1.540778,0.0,71.0,,Charlie Chan in Shanghai,7.0,8.0,1935,10,14,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",43873,0.349258,0.0,141.0,,César,9.0,3.0,1936,1,1,156152,La Trilogie Marseillaise
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",33708,0.630625,0.0,72.0,San Francisco is the scene of Chan's newest and most baffling mystery!,Charlie Chan's Secret,7.4,8.0,1936,1,17,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",33386,0.296281,0.0,72.0,,Charlie Chan at the Circus,6.7,6.0,1936,3,27,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",22440,2.076008,0.0,71.0,She gives you that WEIRD FEELING,Dracula's Daughter,6.3,24.0,1936,5,11,221539,Dracula (Universal Series)
0.0,"[{'id': 35, 'name': 'Comedy'}]",82237,0.009626,0.0,57.0,,"Thank You, Jeeves!",0.0,0.0,1936,6,30,122778,Wodehouse P.G. Collection
0.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",195522,1.381365,0.0,65.0,,Redes,5.0,1.0,1936,7,15,303969,"Martin Scorsese’s World Cinema Project, Vol. 1"
