budget,genres,id,popularity,revenue,runtime,tagline,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name
291000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",3035,8.091603,12000000,71.0,The man who made a monster.,Frankenstein,7.3,295.0,1931,11,21,218406,Frankenstein (Universal Series)
672000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",244,8.73274,10000000,100.0,A Monster of Creation's Dawn Breaks Loose in Our World Today!,King Kong,7.7,346.0,1933,4,7,135495,King Kong (1933 series)
250000,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",43149,1.771424,616000,70.0,SEE! The cannibals! The earthquake! The sea serpent! The fighting monsters of ages past!,The Son of Kong,5.2,31.0,1933,12,22,135495,King Kong (1933 series)
226408,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",3529,10.573867,1423000,93.0,A laugh tops every thrilling moment!,The Thin Man,7.4,97.0,1934,5,25,47814,The Thin Man Collection
393750,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",229,7.000417,2000000,75.0,The monster demands a mate.,Bride of Frankenstein,7.4,208.0,1935,4,21,218406,Frankenstein (Universal Series)
673000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",14588,7.201727,3165000,112.0,Continuing the fun in their NEW hit!,After the Thin Man,7.1,30.0,1936,12,25,47814,The Thin Man Collection
1107000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",14589,1.881187,2223000,103.0,Their Merriest Hit! Mr. and Mrs. Thin Man Have a B-A-B-Y!,Another Thin Man,7.0,20.0,1939,1,1,47814,The Thin Man Collection
2280000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",756,8.03796,76411819,124.0,The most sensational sound you'll ever see!,Fantasia,7.2,831.0,1940,11,13,55427,Fantasia Collection
269062,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",28423,1.294231,659600,72.0,IT'S A Ghost-to-Ghost HOOK-UP!,The Invisible Woman,6.0,5.0,1940,12,27,259401,The Invisible Man (Universal Series)
821000,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",14590,2.671234,2301000,97.0,FUNNIER THAN EVER in their first new laugh-thriller in 2 years!,Shadow of the Thin Man,6.2,17.0,1941,11,21,47814,The Thin Man Collection
322000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]",28426,1.48335,1040000,81.0,,Invisible Agent,5.7,6.0,1942,7,31,259401,The Invisible Man (Universal Series)
1401000,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",14594,5.650608,2814000,100.0,Together again in M-G-M's riotous comedy.,The Thin Man Goes Home,6.4,15.0,1945,1,25,47814,The Thin Man Collection
