director_name,director_id,id,budget,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror,director_recent_movie_ids,average_director_movie_revenue
John Lasseter,7879.0,862,30000000,21.946943,394436586,81.0,Toy Story,7.7,5415.0,1995,10,30,10194,Toy Story Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"[13925, 13927, 13926, 13928]",123967
Howard Deutch,26502.0,15602,25000000,11.7129,71500000,101.0,Grumpier Old Men,6.5,92.0,1995,12,22,119050,Grumpy Old Men Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"[41579, 15143, 11522, 2617, 25269]",27214205
Martin Campbell,10702.0,710,58000000,14.686036,352200000,130.0,GoldenEye,6.6,1194.0,1995,11,16,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[10447, 41952, 52660, 41787]",12657223
Steve Oedekerk,4489.0,9273,30000000,8.205448,212385533,90.0,Ace Ventura: When Nature Calls,6.1,1128.0,1995,11,10,3167,Ace Ventura Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,[],0
Barry Sonnenfeld,5174.0,8012,30250000,12.669608,115101622,105.0,Get Shorty,6.4,305.0,1995,10,20,91698,Chili Palmer Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[2758, 9024, 2907]",83855913
Chris Noonan,58137.0,9598,30000000,14.404764,254100000,89.0,Babe,6.0,756.0,1995,7,18,9435,Babe Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,[],0
Paul W.S. Anderson,4014.0,9312,18000000,10.870138,122195920,101.0,Mortal Kombat,5.4,452.0,1995,8,18,9818,Mortal Kombat Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[45549],4052366
Farhad Mann,69721.0,11525,15000000,2.49535,2409225,92.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,1996,1,12,124935,The Lawnmower Man Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[],0
F. Gary Gray,37932.0,10634,3500000,14.56965,28200000,91.0,Friday,7.0,513.0,1995,4,26,43563,Friday Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Robert Rodriguez,2294.0,755,19000000,15.339153,25800000,108.0,From Dusk Till Dawn,6.9,1644.0,1996,1,19,10924,From Dusk Till Dawn Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"[8068, 9367, 26682]",13723182
Brian Henson,65298.0,10874,31000000,6.902423,34300000,100.0,Muppet Treasure Island,6.5,93.0,1996,2,16,256377,The Muppet Collection,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,[10437],27281507
Michael Bay,865.0,9737,19000000,9.262184,141407024,118.0,Bad Boys,6.5,1729.0,1995,4,7,14890,Bad Boys Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Joel Schumacher,5572.0,414,100000000,13.321354,336529144,121.0,Batman Forever,5.2,1529.0,1995,6,16,120794,Batman Collection,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[10731, 11557, 37094, 9079, 1551, 1547, 31674]",56332740
Paul Auster,46391.0,5894,2000000,11.528147,1300000,83.0,Blue in the Face,6.8,28.0,1995,9,15,439053,Brooklyn Cigar Store Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Robert Rodriguez,2294.0,8068,7000000,6.950458,25400000,104.0,Desperado,6.8,898.0,1995,8,25,9649,Mexico Trilogy,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[9367, 26682]",2040920
John McTiernan,1090.0,1572,90000000,15.138855,366101666,128.0,Die Hard: With a Vengeance,6.9,2094.0,1995,5,19,1570,Die Hard Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[9593, 562, 1669, 9096, 106, 26725]",124469791
Dwight H. Little,56998.0,9073,31000000,7.575098,30000000,95.0,Free Willy 2 - The Adventure Home,5.5,130.0,1995,7,19,9328,Free Willy Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[10173, 11357, 13153]",26066960
Bryan Spicer,42111.0,9070,15000000,7.024227,66400000,92.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995,6,30,286162,Power Rangers Collection,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,[],0
Wayne Wang,39819.0,10149,7000000,5.552946,8349430,112.0,Smoke,7.2,115.0,1995,6,9,439053,Brooklyn Cigar Store Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"[19931, 98984, 135418, 78691]",16634008
Roger Donaldson,21370.0,9348,35000000,13.492845,113400000,108.0,Species,5.5,457.0,1995,7,7,9887,Species Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"[2087, 10083, 19380, 7520, 10164]",54731786
Geoff Murphy,32277.0,3512,60000000,7.490247,104324083,100.0,Under Siege 2: Dark Territory,5.6,217.0,1995,7,13,112399,Under Siege Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[9086, 9278, 10176, 20333, 60505]",38064513
Richard Linklater,564.0,76,2500000,11.304979,5987386,105.0,Before Sunrise,7.7,984.0,1995,1,27,123800,Before... Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"[9571, 14022, 83346]",4610574
Kevin Smith,19303.0,2292,27575,10.513367,3151130,92.0,Clerks,7.4,769.0,1994,9,13,182813,Clerks Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Peter Farrelly,7396.0,8467,16000000,9.844558,247275374,107.0,Dumb and Dumber,6.5,1894.0,1994,12,16,96665,Dumb and Dumber Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Neil Jordan,17016.0,628,60000000,11.970205,223664608,123.0,Interview with the Vampire,7.2,1558.0,1994,11,11,217704,The Vampire Chronicles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"[11386, 5971, 10002, 21362]",25247631
George Lucas,1.0,11,11000000,42.149697,775398007,121.0,Star Wars,8.1,6778.0,1977,5,25,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[838, 636]",71218500
John Pasquin,58072.0,11395,22000000,9.665424,189833357,97.0,The Santa Clause,6.3,501.0,1994,11,10,53159,The Santa Clause Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,[],0
Ernest R. Dickerson,15521.0,9059,13000000,9.455342,21089146,92.0,Tales from the Crypt: Demon Knight,6.7,96.0,1995,1,13,115142,Tales from the Crypt Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"[17585, 16136]",13918446
David Carson,2380.0,193,38000000,8.105708,118071125,118.0,Star Trek: Generations,6.4,461.0,1994,11,17,115570,Star Trek: The Next Generation Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,[],0
Tom Shadyac,4499.0,3049,15000000,11.247957,107217396,86.0,Ace Ventura: Pet Detective,6.4,1684.0,1994,2,4,3167,Ace Ventura Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,[],0
Phillip Noyce,13015.0,9331,62000000,7.513245,215900000,141.0,Clear and Present Danger,6.4,390.0,1994,8,3,192492,The Jack Ryan Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"[867, 10493, 9869, 19124]",76217156
Alex Proyas,21085.0,9495,23000000,15.799336,93722164,102.0,The Crow,7.3,980.0,1994,5,11,9436,The Crow Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
Brian Levant,13581.0,888,46000000,15.019586,341631208,91.0,The Flintstones,5.0,559.0,1994,5,26,351684,The Flintstones (Live-Action) Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"[28597, 11806]",89959374
Wes Craven,5140.0,11596,8000000,9.860522,18090181,112.0,New Nightmare,6.4,297.0,1994,10,13,8581,A Nightmare on Elm Street Collection,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"[377, 33278, 11503, 12521, 18477, 13122]",26697123
Peter Segal,13426.0,36593,30000000,10.587232,132032598,83.0,The Naked Gun 33⅓: The Final Insult,6.4,535.0,1994,3,18,37139,Naked Gun Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Jan de Bont,2209.0,1637,30000000,10.859292,350448145,116.0,Speed,6.8,1814.0,1994,6,9,43064,Speed Collection,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[],0
Steven E. de Souza,1726.0,11667,35000000,13.58449,99423521,102.0,Street Fighter,4.1,330.0,1994,12,22,261203,Street Fighter,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[],0
Andrew Morahan,53599.0,8011,30000000,6.866634,36700000,99.0,Highlander: The Final Dimension,4.5,110.0,1994,11,29,8050,Highlander Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[20227],13357272
Barry Sonnenfeld,5174.0,2758,47000000,17.555909,48919043,94.0,Addams Family Values,6.5,537.0,1993,11,19,11716,Addams Family Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"[9024, 2907]",101324348
John Badham,12840.0,9409,30000000,12.967239,30008496,105.0,Another Stakeout,4.9,58.0,1993,7,22,162028,Stakeout Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[14040, 1727, 2605, 10859, 11384, 10498]",57021935
John Landis,4610.0,306,50000000,11.787784,119208989,104.0,Beverly Hills Cop III,5.5,445.0,1994,5,24,85861,Beverly Hills Cop Collection,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[8388, 9602, 11890, 11338, 9080, 27381]",83660799
Paul Weiland,66548.0,11310,40000000,8.605703,72000000,116.0,City Slickers II: The Legend of Curly's Gold,4.9,103.0,1994,6,10,150156,City Slickers Collection,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,[24828],4600000
Simon Wincer,18254.0,1634,20000000,5.990572,153698625,112.0,Free Willy,6.0,429.0,1993,7,16,9328,Free Willy Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"[2453, 16248, 9588, 36527]",7637800
Andrew Davis,12989.0,5503,44000000,10.08937,183875799,130.0,The Fugitive,7.2,1240.0,1993,8,6,134011,The Fugitive / U.S. Marshals Collection,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"[8845, 20721, 9395, 31606]",65259377
Jim Abrahams,12936.0,9255,25000000,13.482371,133752825,86.0,Hot Shots! Part Deux,6.2,463.0,1993,5,21,52988,Hot Shots! Collection,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[12151, 12710, 9595, 31923]",85561820
Steven Spielberg,488.0,329,63000000,8.863776,920100000,127.0,Jurassic Park,7.6,4956.0,1993,6,11,328,Jurassic Park Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"[89, 87, 873, 879, 10110, 11352, 15301]",203514931
Christopher Cain,56828.0,11231,12000000,9.9697,15876353,107.0,The Next Karate Kid,4.8,202.0,1994,7,18,8580,The Karate Kid Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[11967, 10081, 64945, 22627]",32230792
Fred Dekker,44056.0,5550,22000000,8.685798,10696210,104.0,RoboCop 3,4.2,309.0,1993,4,17,5547,RoboCop Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[15762, 13509]",2180678
Betty Thomas,31024.0,9066,12000000,4.233092,46600000,84.0,The Brady Bunch Movie,5.9,87.0,1995,2,16,224478,The Brady Bunch Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Chris Columbus,10965.0,771,18000000,0.702543,476684675,103.0,Home Alone,7.1,2487.0,1990,11,9,9888,Home Alone Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"[14367, 38615]",34368475
James Cameron,2710.0,280,102000000,22.661695,520000000,137.0,Terminator 2: Judgment Day,7.7,4274.0,1991,7,1,528,The Terminator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"[2756, 679, 218, 31646]",117229251
Tim Burton,510.0,268,35000000,19.10673,411348924,126.0,Batman,7.0,2145.0,1989,6,23,120794,Batman Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4011, 5683, 32085, 82309, 33914]",57827480
Jonathan Demme,16294.0,274,19000000,4.307222,272742922,119.0,The Silence of the Lambs,8.1,4549.0,1991,2,1,9743,The Hannibal Lecter Anthology,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[2321, 24128, 11300, 18446, 42015, 134743]",11609549
Kevin Yagher,176246.0,8766,4000000,5.263187,16675000,86.0,Hellraiser: Bloodline,4.9,111.0,1996,3,8,8917,Hellraiser Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,[],0
Brian De Palma,1150.0,954,80000000,15.793477,457696391,110.0,Mission: Impossible,6.7,2677.0,1996,5,22,87359,Mission: Impossible Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[6075, 117, 9586, 10142, 13937]",42330268
Jean-Marie Poiré,64909.0,11687,9500000,7.326169,98800000,107.0,The Visitors,7.1,433.0,1993,1,27,52888,The Visitors Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,[],0
Danny Boyle,2034.0,627,4000000,19.348466,72000000,93.0,Trainspotting,7.8,2737.0,1996,2,23,424202,Trainspotting Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[9905],43402608
Roland Emmerich,6046.0,602,75000000,17.634197,817400891,145.0,Independence Day,6.7,3334.0,1996,6,25,304378,Independence Day Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[2164, 9349, 2927, 71697]",196567262
Tom Shadyac,4499.0,9327,54000000,9.651581,128769345,95.0,The Nutty Professor,5.4,717.0,1996,6,26,86028,The Nutty Professor Collection,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[3049],107217396
Arlene Sanford,15042.0,12606,12000000,9.898696,21400000,90.0,A Very Brady Sequel,5.8,42.0,1996,8,23,224478,The Brady Bunch Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0
Tim Pope,65602.0,10546,13000000,6.554679,25317287,84.0,The Crow: City of Angels,5.2,119.0,1996,8,29,9436,The Crow Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
Gilbert Adler,10953.0,9431,15000000,3.450402,5600000,87.0,Bordello of Blood,5.0,63.0,1996,8,16,115142,Tales from the Crypt Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,[],0
John Carpenter,11770.0,10061,50000000,12.229381,42277365,97.0,Escape from L.A.,5.6,381.0,1996,8,9,115838,Escape From ... Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[12122, 2654, 8337, 2687, 8852]",11982884
Francis Ford Coppola,1776.0,238,6000000,41.109264,245066411,175.0,The Godfather,8.5,6024.0,1972,3,14,230,The Godfather Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[28503, 42728, 42622, 59231]",11600000
Stanley Tong,44916.0,11134,900000,6.751864,20500000,95.0,Police Story 3: Supercop,6.7,109.0,1992,7,4,269098,Police Story Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
Stanley Tong,44916.0,38955,1000000,1.262539,1200000,104.0,Project S,5.8,12.0,1993,10,21,269098,Police Story Collection,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[11134],20483423
Joe Chappelle,55116.0,10987,5000000,8.768288,15116634,88.0,Halloween: The Curse of Michael Myers,5.0,173.0,1995,9,29,91361,Halloween Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
Stanley Kubrick,240.0,62,12000000,22.494622,71923560,149.0,2001: A Space Odyssey,7.9,3075.0,1968,4,10,4438,The Space Odyssey Series,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"[935, 967, 802]",26257821
W.S. Van Dyke,32427.0,3529,226408,10.573867,1423000,93.0,The Thin Man,7.4,97.0,1934,5,25,47814,The Thin Man Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"[26845, 28564, 53161, 84296, 162284, 34977, 117004, 113638]",4200000
George A. Romero,14999.0,10331,114000,14.384198,30000000,96.0,Night of the Living Dead,7.5,591.0,1968,10,1,261590,Living Dead Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],0
John McTiernan,1090.0,562,28000000,16.640522,140767956,131.0,Die Hard,7.5,4005.0,1988,7,15,1570,Die Hard Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[106, 26725]",98267558
Brett Leonard,57090.0,10163,10000000,6.685948,32100816,108.0,The Lawnmower Man,5.4,198.0,1992,3,5,124935,The Lawnmower Man Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,[40448],29426051
Emile Ardolino,716.0,88,6000000,14.044122,214577242,100.0,Dirty Dancing,7.1,1371.0,1987,8,21,86058,Dirty Dancing Collection,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,[],0
Ted Kotcheff,16544.0,8491,6500000,8.051891,30218387,97.0,Weekend at Bernie's,6.4,255.0,1989,7,5,118221,Weekend at Bernie's Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[1368, 29786, 9967, 26798, 108969, 187219, 52777]",38237800
Paul Verhoeven,10491.0,402,49000000,16.628427,352927224,127.0,Basic Instinct,6.5,869.0,1992,3,20,86336,Basic Instinct Collection,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[861, 5548, 12775, 29140]",104947534
Blake Edwards,1927.0,11843,5000000,6.501177,41833347,113.0,The Return of the Pink Panther,6.7,138.0,1975,5,21,937,The Pink Panther (Original) Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"[11575, 10794, 42586, 42531, 72449, 36283, 52960]",14116666
John Carpenter,11770.0,1103,6000000,10.124544,50244700,99.0,Escape from New York,6.9,720.0,1981,5,22,115838,Escape From ... Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"[790, 948, 17814, 1410, 31428, 40047]",45861415
Irvin Kershner,10930.0,1891,18000000,19.470959,538400000,124.0,The Empire Strikes Back,8.2,5998.0,1980,5,17,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[29143, 35200, 42492, 35405]",20000000
Steven Spielberg,488.0,85,18000000,19.901576,389925971,115.0,Raiders of the Lost Ark,7.7,3949.0,1981,6,12,84,Indiana Jones Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[578, 840, 5121, 11519, 839, 85483]",221310528
James Cameron,2710.0,679,18500000,21.761179,183316455,137.0,Aliens,7.7,3282.0,1986,7,18,8091,Alien Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"[218, 31646]",78371200
Sergio Leone,4385.0,429,1200000,16.788787,38900000,161.0,"The Good, the Bad and the Ugly",8.1,2371.0,1966,12,23,48317,The Man With No Name Collection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[391, 938, 43020]",9950000
Richard Marquand,19800.0,1892,32350000,14.586087,572700000,135.0,Return of the Jedi,7.9,4763.0,1983,5,23,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"[10863, 42215]",14682492
Ridley Scott,578.0,348,11000000,23.37742,104931801,117.0,Alien,7.9,4564.0,1979,5,25,8091,Alien Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,[19067],26624505
Sam Raimi,7623.0,766,11000000,10.704612,21502976,81.0,Army of Darkness,7.3,852.0,1992,10,9,1960,Evil Dead Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"[765, 21627, 9556]",29889251
Alfred Hitchcock,2636.0,539,806947,36.826309,32000000,109.0,Psycho,8.3,2405.0,1960,6,16,119674,Psycho Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"[426, 567, 213, 381, 521, 22527, 574, 11219, 30159, 845]",10795249
John Landis,4610.0,525,27000000,10.076901,115200000,133.0,The Blues Brothers,7.5,1092.0,1980,6,17,112636,The Blues Brothers Collection,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[8469, 11598]",141000000
Francis Ford Coppola,1776.0,240,13000000,36.629307,102600000,200.0,The Godfather: Part II,8.3,3418.0,1974,12,20,230,The Godfather Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[238, 592, 42728, 42622, 59231]",87028804
