belongs_to_collection,budget,genres,id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
"{'id': 188534, 'name': 'Fantômas Serial'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56508,fr,Fantômas: À l'ombre de la guillotine,"For the arch-criminal Fantômas, no crime is too daring, too adventurous. A master of disguise, he has no trouble relieving the Princess Danidoff of her priceless pearl necklace at the Royal Palace Hotel. Inspectator Juve is determined to capture Fantômas and put an end to his limitless villainy. Whilst investigating the disappearance of Lord Beltham, Juve finds himself on the trail of his arch-enemy once more. He discovers that Beltham’s widow has been having a secret affair with a mysterious stranger, Gurn. In Gurn’s apartment, Juve discovers the dead body of Lord Beltham and business cards bearing the name Fantômas. A triumphant Juve makes an easy arrest of Gurn, alias Fantômas, and is sure that nothing can save the evil-doer from the guillotine. But Lady Beltham has an ingenious plan to save her lover, using an actor Valgrand who closely resembles Gurn.",0.791727,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1913-05-09,0.0,54.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Fantômas: In the Shadow of the Guillotine,6.7,13.0
"{'id': 188534, 'name': 'Fantômas Serial'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56511,fr,Fantômas: Juve contre Fantômas,"When a disfigured body of a woman is found in the lodgings of Dr. Chaleck, Inspector Juve immediately suspects this to be the work of his arch-enemy, the master criminal Fantômas. He and journalist Fandor trail Chaleck across Paris and see him being handed a note by a girl called Joséphine. Joséphine is the lover of Martialle, an employee of a distillery company who is taking a large sum of money by train. Fandor follows them onto the train where he and Martialle are robbed by Fantômas. Fantômas sends a telegram to Juve, purporting to be from Fandor, to lure him to the distillery. Informed by Martialle, Fandor has gone there himself. He and Juve fire shots at each other by mistake, before being caught in a violent ambush. Juve and Fandor return to Paris and decide to pay a visit to Lady Bentham’s former house. To their surprise, Lady Bentham returns to the house to meet her one-time lover Fantômas. They overhear Fantômas saying that he intends to dispose of Juve in three days’ time.",0.787866,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1913-09-12,0.0,59.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Fantômas: Juve Against Fantômas,6.4,11.0
"{'id': 188534, 'name': 'Fantômas Serial'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56516,fr,Fantômas: Le mort qui tue,"Fantômas murders a baroness, cleverly framing the artist Dollon for the crime. Then Dollon is mysteriously murdered whilst in prison. After the body disappears from inside the prison, a series of crimes take place, leaving behind the fingerprints of the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?",0.414734,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1913-11-28,0.0,90.0,"[{'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Fantômas: The Dead Man Who Killed,6.4,8.0
"{'id': 188534, 'name': 'Fantômas Serial'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56512,fr,Fantômas: Fantômas contre Fantômas,"After his failed attempts to capture the ruthless crook and serial murderer Fantômas, Inspecteur Juve becomes the victim of a virulent press campaign which accuses him of being Fantômas himself. Whilst Juve languishes in a prison cell, his friend, journalist Fandor, attempts to clear his name by tracking the real Fantômas. Meanwhile, the police are investigating the disappearance of a debt collector. An American detective Tom Bob finds the body concealed in a newly built wall and offers to carry out his own investigation to find Fantômas. Lady Beltham, former lover and victim of Fantômas, receives a visit from Tom Bob, whom she instantly recognizes as Fantômas. The arch-criminal compels her to organize a charity ball, ostensibly to raise funds to bring Fantômas to justice. Hearing about the ball, and suspecting that Fantômas will almost certainly be there, Fandor decides to attend, dressed as the infamous criminal.",0.322249,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1914-03-13,0.0,59.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Fantômas: Fantômas Against Fantômas,6.2,8.0
"{'id': 188534, 'name': 'Fantômas Serial'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",56515,fr,Fantômas: Le faux magistrat,"Inspector Juve finds out that Fantômas is serving a prison sentence in Belgium. Desperately eager to get the master criminal to France, Inspecteur Juve comes up with a plot to allow Fantômas to escape.",0.237483,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1914-05-08,0.0,70.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Fantômas: The False Magistrate,5.4,6.0
"{'id': 189295, 'name': 'The Spiders Serial'}",0.0,"[{'id': 12, 'name': 'Adventure'}]",91893,en,"Die Spinnen, 1. Teil - Der Goldene See","In San Francisco, well-known sportsman Kay Hoog announces to a club that he has found a message in a bottle with a map drawn by a Harvard professor who has gone missing. The map tells of a lost Incan civilization that possesses an immense treasure. Hoog immediately plans an expedition to find it. But Lio Sha, the head of a criminal organization known as the Spiders, is determined to get the treasure for herself and plans a rival expedition.",0.301984,"[{'name': 'Decla-Bioscop AG', 'id': 6762}, {'name': 'Decla-Film-Gesellschaft Holz & Co.', 'id': 44382}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1919-10-03,0.0,69.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Spiders - The Golden Sea,5.7,5.0
"{'id': 189295, 'name': 'The Spiders Serial'}",0.0,"[{'id': 12, 'name': 'Adventure'}]",92332,en,"Die Spinnen, 2. Teil - Das Brillantenschiff","When last we saw Kay Hoog (millionaire adventurer, courageous hunk), he’d been beset with tragedy. Having escaped an ancient Incan city by the skin of his gleaming teeth, Hoog looked forward to a few years of settled life with his (amicably) captured Incan lovely, Naela. But the past struck quickly. Hoog’s arch-nemesis, the homicidal femme Lio Sha, murdered Naela on the very grounds of Hoog’s estate, prompting him to swear revenge upon her and her criminal organization, the Spiders. Now he must find them, as the Spiders continue their global quest for the Buddha-head Diamond. The head, it’s said, has the power to restore Asia to world dominance.",0.315662,"[{'name': 'Decla-Film-Gesellschaft Holz & Co.', 'id': 44382}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1920-02-02,0.0,130.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Spiders - The Diamond Ship,5.8,5.0
"{'id': 158038, 'name': 'Die Nibelungen Collection'}",0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",31506,de,Die Nibelungen: Siegfried,"Siegfried, son of King Sigmund, hears of the beautiful sister of Gunter, King of Worms, Kriemhild. On his way to Worms, he kills a dragon and finds a treasure, the Hort. He helps Gunther to win Brunhild, by using a mask that makes him invisible. But because Brunhild is cursing Kriemhild, she tells her what really happened. Now Brunhild wants Siegfried's head.",1.827403,"[{'name': 'Decla-Bioscop AG', 'id': 6762}, {'name': 'Universum Film (UFA)', 'id': 12372}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1924-02-13,0.0,140.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Die Nibelungen: Siegfried,7.7,19.0
"{'id': 158038, 'name': 'Die Nibelungen Collection'}",0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",42512,de,Die Nibelungen: Kriemhilds Rache,"After Siegfried's death, Kriemhild marries Etzel, the King of the Huns. She gives birth to a child, and invites her brothers for a party. She tries to persuade Etzel and the other Huns to kill Hagen, the murderer of Siegfried, but he is protected by her brothers. A fierce battle begins to force her brothers to give Hagen to her.",0.828949,"[{'name': 'Decla-Bioscop AG', 'id': 6762}, {'name': 'Universum Film (UFA)', 'id': 12372}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1924-04-25,0.0,129.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Die Nibelungen: Kriemhild's Revenge,7.5,14.0
"{'id': 48802, 'name': 'I Love a Mystery movie series'}",217000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",27503,en,The Unknown,Lon Chaney is carnival knife thrower Alonzo the Armless and Joan Crawford is the scantily clad carnival girl he hopes to marry.,1.48162,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1927-06-04,0.0,63.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Unknown,7.6,24.0
"{'id': 441443, 'name': 'Ukraine Trilogy'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",82088,uk,Звeнигopа,"Zvenigora stars Nikolai Nademsky (Earth), as the grandfather of Timoshka (Semyon Svashenko), whom he alerts to secret treasure buried in the mountains and the boy spends the rest of his life trying to find. The film wonderfully blends both lyricism and politics and uses its central construct to build a montage praising Ukrainian industrialisation, attacking the European bourgeoisie, celebrating the beauty of the Ukrainian steppe and re-telling ancient folklore. Zvenigora is a most remarkable avant-garde film, which has a unique style in its approach and disregards the more traditional storytelling devices.  ""As the lights went on, we felt that we had just witnessed a memorable event in the development of the cinema"" S.M. Eisenstein",0.305708,"[{'name': 'VUFKU', 'id': 25065}]","[{'iso_3166_1': 'UA', 'name': 'Ukraine'}]",1928-04-13,0.0,90.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Zvenigora,7.8,6.0
"{'id': 441443, 'name': 'Ukraine Trilogy'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",85715,uk,Арсенал,"Set in the bleak aftermath and devastation of the World War I, a recently demobbed soldier, Timosh, returns to his hometown Kiev, after having survived a train wreck. His arrival coincides with a national celebration of Ukrainian freedom, but the festivities are not to last as a disenchanted.",0.811576,"[{'name': 'VUFKU', 'id': 25065}]","[{'iso_3166_1': 'UA', 'name': 'Ukraine'}]",1929-02-25,0.0,70.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Arsenal,7.0,7.0
"{'id': 281097, 'name': 'Philo Vance Collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}]",61546,en,The Bishop Murder Case,"The murders start with the body of Robin. He is found with a arrow through the heart, but Vance deduces that the body was placed and not found where he was killed. The note found dealing with the murder was part of a nursery rhyme and signed by 'Bishop'. The only witness may have been Mrs. Drukker and Adolph, but they are not talking. As the murders progress, each one is accompanied by a nursery rhyme. It is up to Philo Vance to unravel the clues and unmask the identity of the murderer 'Bishop'.",0.743953,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1930-01-03,0.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,ALL-TALKING!...ALL-THRILLS!,The Bishop Murder Case,3.6,4.0
"{'id': 441443, 'name': 'Ukraine Trilogy'}",0.0,"[{'id': 18, 'name': 'Drama'}]",46594,ru,Земля,"In the peaceful countryside, Vassily opposes the rich kulaks over the coming of collective farming.",1.289409,"[{'name': 'VUFKU', 'id': 25065}]","[{'iso_3166_1': 'UA', 'name': 'Ukraine'}]",1930-04-08,0.0,75.0,"[{'iso_639_1': 'uk', 'name': 'Український'}]",Released,,Earth,7.1,28.0
"{'id': 221539, 'name': 'Dracula (Universal Series)'}",355000.0,"[{'id': 27, 'name': 'Horror'}]",138,en,Dracula,The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.,7.503126,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-02-12,1012189.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,The story of the strangest passion the world has ever known!,Dracula,7.2,254.0
"{'id': 38451, 'name': 'Charlie Chan (Warner Oland) Collection'}",0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",38453,en,The Black Camel,"Movie star Shelah Fane is seeing wealthy Alan Jaynes while filming in Honolulu, Hawaii, but won't marry him without consulting famed psychic Tanaverro first. Tanaverro confronts her about the unsolved murder of fellow film star Denny Mayo three years earlier, and she decides to reject Jaynes' proposal. When Shelah is found shot to death in her beach-front pavilion, Charlie Chan of the Honolulu Police investigates.",0.377614,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-06-21,0.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Black Camel,5.2,10.0
"{'id': 156152, 'name': 'La Trilogie Marseillaise'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",42818,fr,Marius,"César runs a bar along Marseilles' port, assisted by his 23 year old son, Marius. Colorful characters abound: M. Panisse, an aging widower and prosperous sail maker; Honorine, a fishmonger with a sidewalk stall near the bar; her daughter, Fanny, who helps her sell cockles; and, various old salts. Friends since childhood, Fanny and Marius love each other, but Marius has a secret wanderlust: every ship's whistle stirs a longing for foreign lands. When M. Panisse seeks Fanny's hand in marriage and when a departing clipper needs a deckhand, Marius and Fanny must decide who and what they love most. César, with his generous, comic spirit, tries to guide his son.",0.858991,"[{'name': 'Les Films Marcel Pagnol', 'id': 19160}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1931-10-09,0.0,130.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Marius,6.6,9.0
