budget,id,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror
11000000,11,42.149697,775398007,121.0,Star Wars,8.1,6778.0,1977,5,25,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
18000000,1891,19.470959,538400000,124.0,The Empire Strikes Back,8.2,5998.0,1980,5,17,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
32350000,1892,14.586087,572700000,135.0,Return of the Jedi,7.9,4763.0,1983,5,23,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
115000000,1893,15.649091,924317558,136.0,Star Wars: Episode I - The Phantom Menace,6.4,4526.0,1999,5,19,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
120000000,1894,14.072511,649398328,142.0,Star Wars: Episode II - Attack of the Clones,6.4,4074.0,2002,5,15,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
113000000,1895,13.165421,850000000,140.0,Star Wars: Episode III - Revenge of the Sith,7.1,4200.0,2005,5,17,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
245000000,140607,31.626013,2068223624,136.0,Star Wars: The Force Awakens,7.5,7993.0,2015,12,15,10,Star Wars Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
18000000,85,19.901576,389925971,115.0,Raiders of the Lost Ark,7.7,3949.0,1981,6,12,84,Indiana Jones Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
28000000,87,15.802306,333000000,118.0,Indiana Jones and the Temple of Doom,7.1,2841.0,1984,5,23,84,Indiana Jones Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
48000000,89,14.788987,474171806,127.0,Indiana Jones and the Last Crusade,7.6,3221.0,1989,5,24,84,Indiana Jones Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
93000000,120,32.070725,871368364,178.0,The Lord of the Rings: The Fellowship of the Ring,8.0,8892.0,2001,12,18,119,The Lord of the Rings Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
79000000,121,29.423537,926287400,179.0,The Lord of the Rings: The Two Towers,8.0,7641.0,2002,12,18,119,The Lord of the Rings Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45000000,152,8.277765,139346243,132.0,Star Trek: The Motion Picture,6.2,541.0,1979,12,6,151,Star Trek: The Original Series Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
12000000,154,7.160236,95800000,113.0,Star Trek II: The Wrath of Khan,7.3,688.0,1982,6,3,151,Star Trek: The Original Series Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
18000000,157,6.197298,87000000,105.0,Star Trek III: The Search for Spock,6.4,443.0,1984,5,31,151,Star Trek: The Original Series Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
21000000,168,12.596956,133000000,119.0,Star Trek IV: The Voyage Home,6.9,490.0,1986,11,25,151,Star Trek: The Original Series Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30000000,172,12.308007,70200000,107.0,Star Trek V: The Final Frontier,5.6,384.0,1989,6,9,151,Star Trek: The Original Series Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
6000000,238,41.109264,245066411,175.0,The Godfather,8.5,6024.0,1972,3,14,230,The Godfather Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13000000,240,36.629307,102600000,200.0,The Godfather: Part II,8.3,3418.0,1974,12,20,230,The Godfather Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150000000,272,28.505341,374218673,140.0,Batman Begins,7.5,7511.0,2005,6,10,263,The Dark Knight Collection,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
185000000,155,123.167259,1004558444,152.0,The Dark Knight,8.3,12269.0,2008,7,16,263,The Dark Knight Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19000000,105,25.778509,381109762,116.0,Back to the Future,8.0,6239.0,1985,7,3,264,Back to the Future Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40000000,165,13.689855,332000000,108.0,Back to the Future Part II,7.4,3926.0,1989,11,20,264,Back to the Future Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
140000000,22,47.326665,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191.0,2003,7,9,295,Pirates of the Caribbean Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
200000000,58,29.455314,1065700000,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5380.0,2006,6,20,295,Pirates of the Caribbean Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
300000000,285,31.363664,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4627.0,2007,5,19,295,Pirates of the Caribbean Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
379000000,1865,27.88772,1045700000,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,5068.0,2011,5,14,295,Pirates of the Caribbean Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
85000000,161,12.114932,450717150,116.0,Ocean's Eleven,7.2,3857.0,2001,12,7,304,Ocean's Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000000,163,11.869347,362744280,125.0,Ocean's Twelve,6.4,2169.0,2004,12,9,304,Ocean's Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63000000,329,8.863776,920100000,127.0,Jurassic Park,7.6,4956.0,1993,6,11,328,Jurassic Park Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
73000000,330,0.788123,618638999,129.0,The Lost World: Jurassic Park,6.2,2528.0,1997,5,23,328,Jurassic Park Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
93000000,331,0.648867,368780809,92.0,Jurassic Park III,5.7,2109.0,2001,7,18,328,Jurassic Park Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
15000000,106,18.495694,98267558,107.0,Predator,7.3,2129.0,1987,6,11,399,Predator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
35000000,169,11.736241,57120318,108.0,Predator 2,6.0,743.0,1990,11,20,399,Predator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
180000000,411,18.13542,745013115,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2709.0,2005,12,7,420,The Chronicles of Narnia Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
225000000,2454,12.490891,419665568,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1668.0,2008,5,15,420,The Chronicles of Narnia Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1125000,482,3.73688,12121618,100.0,Shaft,6.5,68.0,1971,7,2,495,Shaft Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1978000,493,0.760855,10000000,104.0,Shaft's Big Score!,6.1,7.0,1972,6,8,495,Shaft Collection,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2142000,494,1.424722,1458000,112.0,Shaft in Africa,5.4,6.0,1973,6,14,495,Shaft Collection,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7500000,145,8.558688,23000000,159.0,Breaking the Waves,7.2,213.0,1996,5,13,498,Heart of Gold Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2500000,452,9.174221,7200,117.0,The Idiots,6.7,107.0,1998,4,28,498,Heart of Gold Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6400000,218,19.293562,78371200,108.0,The Terminator,7.4,4208.0,1984,10,26,528,The Terminator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
102000000,280,22.661695,520000000,137.0,Terminator 2: Judgment Day,7.7,4274.0,1991,7,1,528,The Terminator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
200000000,296,20.818907,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2177.0,2003,7,2,528,The Terminator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
200000000,534,16.507496,371353001,115.0,Terminator Salvation,5.9,2496.0,2009,5,20,528,The Terminator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17300,530,7.617298,40118,23.0,A Grand Day Out,7.4,199.0,1990,5,18,529,Wallace & Gromit Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
139000000,557,29.413341,821708551,121.0,Spider-Man,6.8,5398.0,2002,5,1,556,Spider-Man Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200000000,558,10.834506,788976453,127.0,Spider-Man 2,6.7,4432.0,2004,6,25,556,Spider-Man Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1200000,646,19.931606,59567035,110.0,Dr. No,6.9,953.0,1962,10,4,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2500000,657,12.536729,78900000,115.0,From Russia with Love,6.9,773.0,1963,10,11,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2500000,658,13.78884,124881062,110.0,Goldfinger,7.2,1005.0,1964,9,17,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5500000,660,10.517835,141195658,130.0,Thunderball,6.5,572.0,1965,12,16,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12000000,12208,13.300519,41744718,131.0,Casino Royale,5.3,153.0,1967,4,13,645,James Bond Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9500000,667,10.359669,111584787,117.0,You Only Live Twice,6.5,541.0,1967,6,12,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6000000,668,9.356264,64574493,142.0,On Her Majesty's Secret Service,6.5,464.0,1969,12,12,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7200000,681,12.00491,116019547,120.0,Diamonds Are Forever,6.3,562.0,1971,12,13,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7000000,253,9.773768,126377836,121.0,Live and Let Die,6.4,540.0,1973,7,5,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7000000,682,12.127492,97572000,125.0,The Man with the Golden Gun,6.4,533.0,1974,12,1,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13000000,691,9.781451,185438673,125.0,The Spy Who Loved Me,6.6,515.0,1977,7,7,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34000000,698,10.576273,210308099,126.0,Moonraker,5.9,551.0,1979,6,26,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
28000000,699,9.765123,187412802,127.0,For Your Eyes Only,6.3,497.0,1981,6,23,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27500000,700,10.619302,187500000,131.0,Octopussy,6.2,534.0,1983,6,5,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36000000,36670,10.231985,160000000,134.0,Never Say Never Again,5.8,348.0,1983,10,7,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30000000,707,12.840798,152427960,131.0,A View to a Kill,6.0,515.0,1985,5,24,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40000000,708,12.189038,191185897,130.0,The Living Daylights,6.2,447.0,1987,6,29,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32000000,709,11.137888,156167015,133.0,Licence to Kill,5.9,549.0,1989,7,7,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
58000000,710,14.686036,352200000,130.0,GoldenEye,6.6,1194.0,1995,11,16,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
110000000,714,17.159576,333011068,119.0,Tomorrow Never Dies,6.0,941.0,1997,12,11,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
135000000,36643,12.130127,361832400,128.0,The World Is Not Enough,6.0,878.0,1999,11,8,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
140000000,36669,12.996474,431971116,133.0,Die Another Day,5.8,1112.0,2002,11,17,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
150000000,36557,23.065078,599045960,144.0,Casino Royale,7.3,3930.0,2006,11,14,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
200000000,10764,13.67812,589580482,106.0,Quantum of Solace,6.1,3015.0,2008,10,30,645,James Bond Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
200000000,37724,20.309585,1142471295,143.0,Skyfall,6.9,7718.0,2012,10,25,645,James Bond Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1200000,176,23.508433,103911669,103.0,Saw,7.2,2255.0,2004,10,1,656,Saw Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4000000,215,15.399863,147748505,92.0,Saw II,6.3,1288.0,2005,10,28,656,Saw Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000000,214,14.938035,164876498,108.0,Saw III,6.1,1104.0,2006,10,27,656,Saw Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000000,663,12.233863,139352633,93.0,Saw IV,5.9,938.0,2007,10,25,656,Saw Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10800000,11917,10.165499,113864059,92.0,Saw V,6.0,848.0,2008,10,23,656,Saw Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11000000,22804,17.360894,68234154,90.0,Saw VI,6.0,755.0,2009,10,22,656,Saw Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45000000,36647,15.043454,131183530,120.0,Blade,6.5,1950.0,1998,8,21,735,Blade Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54000000,36586,17.05064,155010032,117.0,Blade II,6.3,1556.0,2002,3,22,735,Blade Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75000000,36657,0.954467,296339527,104.0,X-Men,6.8,4172.0,2000,7,13,748,X-Men Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
110000000,36658,0.913096,407711549,133.0,X2,6.8,3572.0,2003,4,24,748,X-Men Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
210000000,36668,0.867943,459359555,104.0,X-Men: The Last Stand,6.3,3581.0,2006,5,24,748,X-Men Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
160000000,49538,0.738633,353624124,132.0,X-Men: First Class,7.1,5252.0,2011,5,24,748,X-Men Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
250000000,127585,26.058586,747862775,131.0,X-Men: Days of Future Past,7.5,6155.0,2014,5,15,748,X-Men Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
5000000,11843,6.501177,41833347,113.0,The Return of the Pink Panther,6.7,138.0,1975,5,21,937,The Pink Panther (Original) Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
